sort20220911	CollectionCode2018	CollectionCode2019	VeryOldCC	CollectionCodeOld	CollectionCode	etOHstorageLoc	TransferNotes	BiogeographicRegion	Country	Adm1	Adm2	Region	Locale	LocalityCode	LocalityCode2	LocalityNotes	DateCollectedStart	DateCollectedEnd	Time	Method	Lat	Lon	LatLonMaxError	Datum	Elevation	ElevationMaxError	Habitat	Microhabitat	Medium	CollectedBy	CollectionNotes	LocatedAt	OwnedBy	TaxonNotes
14	RPO#0012	RPO#0014	13	RO-05-105	RPO#0014	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	Southwestern Research Station		original GPS waypoint: 75		8/5/2005			hand	31.883	-109.2	800 m	WGS 84	1635	Acquired through GBIF in 2015 from lat/lon	madrean evergreen woodland	nest under rock	pinned	RP Overson	collected within 800 m of the Southwestern Research Station			
15	RPO#0013	RPO#0015	15	RO-05-120	RPO#0015	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	Southwestern Research Station		original GPS waypoint: 75		8/5/2005			hand	31.883	-109.2	800 m	WGS 84	1635	Acquired through GBIF in 2015 from lat/lon	madrean evergreen woodland	nest under rock	pinned	RP Overson	collected within 800 m of the Southwestern Research Station			
16	RPO#0014	RPO#0016	16	RO-05-106	RPO#0016	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	Southwestern Research Station		original GPS waypoint: 75		8/6/2005			hand	31.883	-109.2	800 m	WGS 84	1635	Acquired through GBIF in 2015 from lat/lon	madrean evergreen woodland	nest under rock	pinned	RP Overson	collected within 800 m of the Southwestern Research Station			
17	RPO#0015	RPO#0017	17	RO-05-107	RPO#0017	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	Southwestern Research Station		original GPS waypoint: 75		8/6/2005			hand	31.883	-109.2	800 m	WGS 84	1635	Acquired through GBIF in 2015 from lat/lon	madrean evergreen woodland	nest under rock	pinned	RP Overson	collected within 800 m of the Southwestern Research Station			
18	RPO#0016	RPO#0018	18	RO-05-108	RPO#0018	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	Southwestern Research Station		original GPS waypoint: 75		8/6/2005			hand	31.883	-109.2	800 m	WGS 84	1635	Acquired through GBIF in 2015 from lat/lon	madrean evergreen woodland	nest under rock	pinned	RP Overson	collected within 800 m of the Southwestern Research Station			
19	RPO#0017	RPO#0019	19	RO-05-121	RPO#0019			North America	USA	AZ	Cochise	Chiricahua Mountains	Southwestern Research Station		original GPS waypoint: 75		8/6/2005			hand	31.883	-109.2	800 m	WGS 84	1635	Acquired through GBIF in 2015 from lat/lon	madrean evergreen woodland	nest at tree base	pinned	RP Overson	collected within 800 m of the Southwestern Research Station			
20	RPO#0018	RPO#0020	20	RO-05-122	RPO#0020			North America	USA	AZ	Cochise	Chiricahua Mountains	Southwestern Research Station		original GPS waypoint: 75		8/6/2005			hand	31.883	-109.2	800 m	WGS 84	1635	Acquired through GBIF in 2015 from lat/lon	madrean evergreen woodland	nest at tree base	pinned	RP Overson	collected within 800 m of the Southwestern Research Station			
21	RPO#0019	RPO#0021	22	RO-05-109	RPO#0021	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	4.0 km 356 degrees N Portal		original GPS waypoint: 76	Foothills	8/8/2005			hand	31.95	-109.13	1500 m	WGS 84	1369	Acquired through GBIF in 2015 from lat/lon	Chihuahuan Desert scrub	nest on ground	pinned	RP Overson				
22	RPO#0020	RPO#0022	23	RO-05-110	RPO#0022	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	4.0 km 356 degrees N Portal		original GPS waypoint: 76	Foothills	8/8/2005			hand	31.95	-109.13	1500 m	WGS 84	1369	Acquired through GBIF in 2015 from lat/lon	Chihuahuan Desert scrub	nest on ground	pinned	RP Overson				
23	RPO#0021	RPO#0023	24	RO-05-111	RPO#0023	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	4.0 km 356 degrees N Portal		original GPS waypoint: 76	Foothills	8/8/2005			hand	31.95	-109.13	1500 m	WGS 84	1369	Acquired through GBIF in 2015 from lat/lon	Chihuahuan Desert scrub	nest on ground	pinned	RP Overson				
24	RPO#0022	RPO#0024	25	RO-05-112	RPO#0024	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	4.0 km 356 degrees N Portal		original GPS waypoint: 76	Foothills	8/8/2005			hand	31.95	-109.13	1500 m	WGS 84	1369	Acquired through GBIF in 2015 from lat/lon	Chihuahuan Desert scrub	nest on ground	pinned	RP Overson				
25	RPO#0023	RPO#0025	26	RO-05-113	RPO#0025	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	4.0 km 356 degrees N Portal		original GPS waypoint: 76	Foothills	8/8/2005			hand	31.95	-109.13	1500 m	WGS 84	1369	Acquired through GBIF in 2015 from lat/lon	Chihuahuan Desert scrub	nest on ground	pinned	RP Overson				
26	RPO#0024	RPO#0026	27	RO-05-114	RPO#0026	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	4.0 km 356 degrees N Portal		original GPS waypoint: 76	Foothills	8/8/2005			hand	31.95	-109.13	1500 m	WGS 84	1369	Acquired through GBIF in 2015 from lat/lon	Chihuahuan Desert scrub	nest on ground	pinned	RP Overson				
27	RPO#0025	RPO#0027	28	RO-05-115	RPO#0027	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	4.0 km 356 degrees N Portal		original GPS waypoint: 76	Foothills	8/8/2005			hand	31.95	-109.13	1500 m	WGS 84	1369	Acquired through GBIF in 2015 from lat/lon	Chihuahuan Desert scrub	nest on ground	pinned	RP Overson				
28	RPO#0026	RPO#0028	21	RO-05-116	RPO#0028			North America	USA	AZ	Cochise	Chiricahua Mountains	11.0 km 330 degrees northwest of Portal		original GPS waypoint: 77	Hilltop	8/8/2005			hand	32.00	-109.18	1500 m	WGS 84	1424	Acquired through GBIF in 2015 from lat/lon	Chihuahuan Desert scrub	ex nest	pinned	RP Overson	nest next to prickly pear			
29	RPO#0027	RPO#0029	29	RO-05-117	RPO#0029			North America	USA	AZ	Cochise	Chiricahua Mountains	5.5 km 261 degrees northwest of Portal		original GPS waypoint: 78		8/8/2005			hand	31.9151	-109.2483	30 m	WGS 84	1996	Acquired through GBIF in 2015 from lat/lon	petran montane conifer forest	ex bivouac	pinned	RP Overson	bivouac presumably under dead upright tree			
30	RPO#0028	RPO#0030	30	RO-05-118	RPO#0030	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	5.5 km 261 degrees northwest of Portal		original GPS waypoint: 78		8/8/2005			hand	31.9151	-109.2483	30 m	WGS 84	1996	Acquired through GBIF in 2015 from lat/lon	petran montane conifer forest	nest under rock	pinned	RP Overson				
31	RPO#0029	RPO#0031	31	RO-05-119	RPO#0031	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	5.5 km 261 degrees northwest of Portal		original GPS waypoint: 78		8/8/2005			hand	31.9151	-109.2483	30 m	WGS 84	1996	Acquired through GBIF in 2015 from lat/lon	petran montane conifer forest	nest under rock	pinned	RP Overson				
32	RPO#0030	RPO#0032	32	RO-05-142	RPO#0032			North America	USA	AZ	Cochise	Chiricahua Mountains	2.0 km 286 degrees WNW Portal		original GPS waypoint: 83		8/9/2005			hand	31.92	-109.1778	30 m	WGS 84	1664	Acquired through GBIF in 2015 from lat/lon	madrean evergreen woodland	ex nest in cliff face	pinned	RP Overson	nest inside rock face of a cliff - dug out with pick. ocotillo, acacia.			
33	RPO#0031	RPO#0033	33	RO-05-123	RPO#0033	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	East Turkey Creek		original GPS waypoint: 79	10 km W Portal	8/10/2005			hand	31.909	-109.252	100 m	WGS 84	1958	Acquired through GBIF in 2015 from lat/lon	petran montane conifer forest	ex rock crevice	pinned	RP Overson				
34	RPO#0032	RPO#0034	34	RO-05-124	RPO#0034			North America	USA	AZ	Cochise	Chiricahua Mountains	East Turkey Creek		original GPS waypoint: 79	10 km W Portal	8/10/2005			hand	31.909	-109.252	100 m	WGS 84	1958	Acquired through GBIF in 2015 from lat/lon	petran montane conifer forest	nest under rock	pinned	RP Overson				
35	RPO#0032	RPO#0035	34	RO-05-124	RPO#0035	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	East Turkey Creek		original GPS waypoint: 79	10 km W Portal	8/10/2005			hand	31.909	-109.252	100 m	WGS 84	1997	Acquired through GBIF in 2015 from lat/lon	petran montane conifer forest	nest under rock	pinned	RP Overson				
36	RPO#0033	RPO#0036	36	RO-05-125	RPO#0036	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	East Turkey Creek		original GPS waypoint: 79	10 km W Portal	8/10/2005			hand	31.909	-109.252	100 m	WGS 84	1958	Acquired through GBIF in 2015 from lat/lon	petran montane conifer forest	on ground	pinned	RP Overson				
37	RPO#0034	RPO#0037	37	RO-05-126	RPO#0037			North America	USA	AZ	Cochise	Chiricahua Mountains	East Turkey Creek		original GPS waypoint: 79	10 km W Portal	8/10/2005			hand	31.909	-109.252	100 m	WGS 84	1958	Acquired through GBIF in 2015 from lat/lon	petran montane conifer forest	rotting log	pinned	RP Overson				
38	RPO#0035	RPO#0038	38	RO-05-127	RPO#0038			North America	USA	AZ	Cochise	Chiricahua Mountains	East Turkey Creek		original GPS waypoint: 79	10 km W Portal	8/10/2005			hand	31.909	-109.252	100 m	WGS 84	1958	Acquired through GBIF in 2015 from lat/lon	petran montane conifer forest	nest under rock	pinned	RP Overson				
39	RPO#0036	RPO#0039	39	RO-05-128	RPO#0039			North America	USA	AZ	Cochise	Chiricahua Mountains	East Turkey Creek		original GPS waypoint: 79	10 km W Portal	8/10/2005			hand	31.909	-109.252	100 m	WGS 84	2105	Acquired through GBIF in 2015 from lat/lon	petran montane conifer forest	nest under rock	pinned	RP Overson				
40	RPO#0037	RPO#0040	40	RO-05-129	RPO#0040	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	East Turkey Creek		original GPS waypoint: 79	10 km W Portal	8/10/2005			hand	31.909	-109.252	100 m	WGS 84	1958	Acquired through GBIF in 2015 from lat/lon	petran montane conifer forest	nest under rock	pinned	RP Overson				
41	RPO#0038	RPO#0041	53	RO-05-130	RPO#0041	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	2.5 km 292 degrees northwest of Portal		original GPS waypoint: 80		8/11/2005			hand	31.932	-109.1778	30 m	WGS 84	1603	Acquired through GBIF in 2015 from lat/lon	Chihuahuan Desert scrub	ex acacia tree	pinned	RP Overson	Ant course collecting site called: Limestone Hill.			
42	RPO#0038	RPO#0042	53	RO-05-130	RPO#0042			North America	USA	AZ	Cochise	Chiricahua Mountains	2.5 km 292 degrees northwest of Portal		original GPS waypoint: 80		8/11/2005			hand	31.932	-109.1778	30 m	WGS 84	1606	Acquired through GBIF in 2015 from lat/lon	Chihuahuan Desert scrub	ex acacia tree	pinned	RP Overson	Ant course collecting site called: Limestone Hill.			
43	RPO#0039	RPO#0043	54	RO-05-131	RPO#0043	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	2.5 km 292 degrees northwest of Portal		original GPS waypoint: 80		8/11/2005			hand	31.932	-109.1778	30 m	WGS 84	1603	Acquired through GBIF in 2015 from lat/lon	Chihuahuan Desert scrub	nest under dead agave	pinned	RP Overson	Ant course collecting site called: Limestone Hill.			
44	RPO#0040	RPO#0044	41	RO-05-132	RPO#0044	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	Rustler Park			Rustler Park	8/11/2005			hand	31.917	-109.267	800 m	WGS 84	2522	Acquired through GBIF in 2015 from lat/lon		nest under rock	pinned	RP Overson				
45	RPO#0041	RPO#0045	42	RO-05-133	RPO#0045	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	Rustler Park			Rustler Park	8/11/2005			hand	31.917	-109.267	800 m	WGS 84	2522	Acquired through GBIF in 2015 from lat/lon		nest under rock	pinned	RP Overson				
46	RPO#0042	RPO#0046	48	RO-05-134	RPO#0046	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	Rustler Park		original GPS waypoint: 81		8/11/2005			hand	31.917	-109.267	300 m	WGS 84	2522	Acquired through GBIF in 2015 from lat/lon	petran montane conifer forest	nest under rock	pinned	RP Overson				
47	RPO#0043	RPO#0047	49	RO-05-135	RPO#0047	U2020-I (two vials)		North America	USA	AZ	Cochise	Chiricahua Mountains	Rustler Park		original GPS waypoint: 81		8/11/2005			hand	31.917	-109.267	300 m	WGS 84	2522	Acquired through GBIF in 2015 from lat/lon	petran montane conifer forest		pinned	RP Overson	parasite of Formica CODE			
48	RPO#0044	RPO#0048	50	RO-05-136	RPO#0048	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	Rustler Park		original GPS waypoint: 81		8/11/2005			hand	31.917	-109.267	300 m	WGS 84	2522	Acquired through GBIF in 2015 from lat/lon	petran montane conifer forest	nest rotting log	pinned	RP Overson				
49	RPO#0044	RPO#0049	50	RO-05-136	RPO#0049	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	Rustler Park		original GPS waypoint: 81		8/11/2005			hand	31.917	-109.267	300 m	WGS 84	2491	Acquired through GBIF in 2015 from lat/lon	petran montane conifer forest	nest rotting log	pinned	RP Overson				
50	RPO#0048	RPO#0053	51	RO-05-140	RPO#0050			North America	USA	AZ	Cochise	Chiricahua Mountains	Rustler Park		original GPS waypoint: 81		8/11/2005			hand	31.917	-109.267	300 m	WGS 84	2522	Acquired through GBIF in 2015 from lat/lon	petran montane conifer forest	nest under rock	pinned	RP Overson				
51	RPO#0049	RPO#0054	52	RO-05-141	RPO#0051			North America	USA	AZ	Cochise	Chiricahua Mountains	Rustler Park		original GPS waypoint: 81		8/11/2005			hand	31.917	-109.267	300 m	WGS 84	2522	Acquired through GBIF in 2015 from lat/lon	petran montane conifer forest		pinned	RP Overson	Formica Associated with Polyergus from CODE			
52	RPO#0045	RPO#0050	44	RO-05-137	RPO#0052	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	10.3 km 275 degrees W Portal		original GPS waypoint: 82	Pinery Canyon Road	8/11/2005			hand	31.9535	-109.3107	30 m	WGS 84	1802	Acquired through GBIF in 2015 from lat/lon	madrean evergreen woodland	nest under rock	pinned	RP Overson				
53	RPO#0046	RPO#0051	45	RO-05-138	RPO#0053			North America	USA	AZ	Cochise	Chiricahua Mountains	10.3 km 275 degrees W Portal		original GPS waypoint: 82	Pinery Canyon Road	8/11/2005			hand	31.9535	-109.3107	30 m	WGS 84	1802	Acquired through GBIF in 2015 from lat/lon	madrean evergreen woodland	on ground	pinned	RP Overson				
54	RPO#0047	RPO#0052	46	RO-05-139	RPO#0054	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	10.3 km 275 degrees W Portal		original GPS waypoint: 82	Pinery Canyon Road	8/11/2005			hand	31.9535	-109.3107	30 m	WGS 84	1802	Acquired through GBIF in 2015 from lat/lon	madrean evergreen woodland	nest under rock	pinned	RP Overson				
55	2005-10072	RPO#0055	#N/A	2005-10072	RPO#0055			North America	USA	AZ	Pinal	Superstition Mountains	Lost Goldmine East Trailhead				10/1/2005			UV lighting	33.3918	-111.3538	30	WGS 84	774				100% EtOH	RP Overson	Old Collection Code 176			
56	2005-10073	RPO#0056	#N/A	2005-10073	RPO#0056	U2020-I		North America	USA	AZ	Pinal	Superstition Mountains	Lost Goldmine East Trailhead				10/1/2005				33.3918	-111.3538	30	WGS 84	774			on ground	100% EtOH	RP Overson	Old Collection Code 180. Collected at night			
57	RPO#0050	RPO#0057	56	RO-05-175	RPO#0057			North America	USA	AZ	Pinal	Superstition Mountains	Dacite Cliffs Parking Lot				10/1/2005			UV light	33.3918	-111.3538	10 m	WGS 84	697	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
58	RPO#0051	RPO#0058	57	RO-05-177	RPO#0058			North America	USA	AZ	Pinal	Superstition Mountains	Dacite Cliffs Parking Lot				10/1/2005			hand	33.3918	-111.3538	10 m	WGS 84	697	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson	collection destroyed			
59	RPO#0052	RPO#0059	58	RO-05-179	RPO#0059			North America	USA	AZ	Pinal	Superstition Mountains	Dacite Cliffs Parking Lot				10/1/2005			UV light	33.3918	-111.3538	10 m	WGS 84	697	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
60	RPO#0053	RPO#0060	59	RO-05-183	RPO#0060	U2020-I		North America	USA	AZ	Gila	Apache Peaks	Corral Creek				10/16/2005			hand	33.5483	-110.7117	10 m	WGS 84	1506	Acquired through GBIF in 2015 from lat/lon		nest under rock	75% EtOH	RP Overson				
61	RPO#0054	RPO#0061	60	RO-05-215	RPO#0061			North America	USA	AZ	Gila	Apache Peaks	Corral Creek				10/16/2005			hand	33.5483	-110.7117	10 m	WGS 84	1506	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
62	RPO#0055	RPO#0062	61	RO-06-155	RPO#0062			North America	USA	AZ	Maricopa	Lower Salt River	Coon Bluff Recreation Area		original GPS waypoint: 57		3/29/2006			hand	33.546	-111.645	100 m	WGS 84	427	Acquired through GBIF in 2015 from lat/lon	upland Sonoran desertscrub	under rock	pinned	RP Overson				
63	RPO#0055	RPO#0063	61	RO-06-155	RPO#0063			North America	USA	AZ	Maricopa	Lower Salt River	Coon Bluff Recreation Area		original GPS waypoint: 57		3/29/2006			hand	33.546	-111.645	100 m	WGS 84	427	Acquired through GBIF in 2015 from lat/lon	upland Sonoran desertscrub	under rock	pinned	RP Overson				
64	RPO#0055	RPO#0064	61	RO-06-155	RPO#0064			North America	USA	AZ	Maricopa	Lower Salt River	Coon Bluff Recreation Area		original GPS waypoint: 57		3/29/2006			hand	33.546	-111.645	100 m	WGS 84	427	Acquired through GBIF in 2015 from lat/lon	upland Sonoran desertscrub	under rock	pinned	RP Overson				
65	RPO#0055	RPO#0065	61	RO-06-155	RPO#0065			North America	USA	AZ	Maricopa	Lower Salt River	Coon Bluff Recreation Area		original GPS waypoint: 57		3/29/2006			hand	33.546	-111.645	100 m	WGS 84	427	Acquired through GBIF in 2015 from lat/lon	upland Sonoran desertscrub	under rock	pinned	RP Overson				
66	RPO#0056	RPO#0066	66	RO-06-160	RPO#0066			North America	USA	AZ	Maricopa	Lower Salt River	Pebble Beach Recreation Area		original GPS waypoint: 26		3/29/2006			sweep net	33.5515	-111.5726	30 m	WGS 84	425	Acquired through GBIF in 2015 from lat/lon	upland Sonoran desertscrub		pinned	RP Overson	flying over parking lot of pebble beach			
67	RPO#0057	RPO#0067	67	RO-06-161	RPO#0067			North America	USA	AZ	Maricopa	Lower Salt River	Pebble Beach Recreation Area		original GPS waypoint: 26		3/29/2006			hand	33.5515	-111.5726	30 m	WGS 84	425	Acquired through GBIF in 2015 from lat/lon	upland Sonoran desertscrub	nest in sand	pinned	RP Overson	nest located in sandy soil not far from parking lot			
68	RPO#0058	RPO#0068	68	RO-06-CP-38	RPO#0068	U2020-I		North America	USA	CA	San Diego	Cleveland National Forest	Cibbets Flat Campground				4/7/2006			hand	32.777	-116.447	100 m	WGS 84	1271	Acquired through GBIF in 2015 from lat/lon	Californian chapparal	nest on ground	pinned	RP Overson				
69	RPO#0059	RPO#0069	69	RO-06-CP-39	RPO#0069	U2020-I		North America	USA	CA	San Diego	Cleveland National Forest	Cibbets Flat Campground				4/7/2006			hand	32.777	-116.447	100 m	WGS 84	1271	Acquired through GBIF in 2015 from lat/lon	Californian chapparal	nest on ground	pinned	RP Overson				
70	RPO#0060	RPO#0070	70	RO-06-163	RPO#0070			North America	USA	AZ	Maricopa	Superstition Mountains	First Water Trailhead		original GPS waypoint: 58		4/12/2006			hand	33.4779	-111.4383	50 m	WGS 84	681	Acquired through GBIF in 2015 from lat/lon	upland Sonoran desertscrub	under rock	pinned	RP Overson				
71	RPO#0061	RPO#0071	71	RO-06-164	RPO#0071			North America	USA	AZ	Maricopa	Superstition Mountains	First Water Trailhead		original GPS waypoint: 58		4/12/2006			hand	33.4779	-111.4383	50 m	WGS 84	681	Acquired through GBIF in 2015 from lat/lon	upland Sonoran desertscrub	ex nest	pinned	RP Overson				
72	RPO#0062	RPO#0072	72	RO-06-165	RPO#0072			North America	USA	AZ	Maricopa	Superstition Mountains	First Water Trailhead		original GPS waypoint: 58		4/12/2006			hand	33.4779	-111.4383	50 m	WGS 84	681	Acquired through GBIF in 2015 from lat/lon	upland Sonoran desertscrub	ex Echinocereus sp.	pinned	RP Overson	ex purple flower of Echinocereus sp.			
73	RPO#0062	RPO#0073	72	RO-06-165	RPO#0073			North America	USA	AZ	Maricopa	Superstition Mountains	First Water Trailhead		original GPS waypoint: 58		4/12/2006			hand	33.4779	-111.4383	50 m	WGS 84	681	Acquired through GBIF in 2015 from lat/lon	upland Sonoran desertscrub	ex Echinocereus sp.	pinned	RP Overson	ex purple flower of Echinocereus sp.			
74	RPO#0062	RPO#0074	72	RO-06-165	RPO#0074			North America	USA	AZ	Maricopa	Superstition Mountains	First Water Trailhead		original GPS waypoint: 58		4/12/2006			hand	33.4779	-111.4383	50 m	WGS 84	681	Acquired through GBIF in 2015 from lat/lon	upland Sonoran desertscrub	ex Echinocereus sp.	pinned	RP Overson	ex purple flower of Echinocereus sp.			
75	RPO#0063	RPO#0075	73	RO-06-166	RPO#0075			North America	USA	AZ	Maricopa	Superstition Mountains	First Water Trailhead		original GPS waypoint: 58		4/12/2006			sweep net	33.4779	-111.4383	50 m	WGS 84	681	Acquired through GBIF in 2015 from lat/lon	upland Sonoran desertscrub	ex yellow flower	pinned	RP Overson				
76	RPO#0064	RPO#0076	74	RO-06-167	RPO#0076			North America	USA	AZ	Maricopa	Tempe	Arizona State University		original GPS waypoint:		4/13/2006			hand	33.4191	-111.9314	10 m	WGS 84	357	Acquired through GBIF in 2015 from lat/lon	urban	ex building floor	pinned	RP Overson	walking on the carpet of the ISTB1 building room 311			
77	RPO#0065	RPO#0077	75	RO-06-168	RPO#0077			North America	USA	AZ	Maricopa	Superstition Mountains	Fish Creek Canyon		original GPS waypoint: 59		4/16/2006			hand	33.524	-111.307	100 m	WGS 84	759	Acquired through GBIF in 2015 from lat/lon	upland Sonoran desertscrub		pinned	RP Overson				
78	RPO#0066	RPO#0078	76	RO-06-169	RPO#0078			North America	USA	AZ	Maricopa	Superstition Mountains	Fish Creek Canyon		original GPS waypoint: 59		4/16/2006			hand	33.524	-111.307	100 m	WGS 84	759	Acquired through GBIF in 2015 from lat/lon	upland Sonoran desertscrub		pinned	RP Overson				
79	RPO#0067	RPO#0079	77	RO-06-170	RPO#0079			North America	USA	AZ	Maricopa	Superstition Mountains	Fish Creek Canyon		original GPS waypoint: 59		4/16/2006			hand	33.524	-111.307	100 m	WGS 84	759	Acquired through GBIF in 2015 from lat/lon	upland Sonoran desertscrub		pinned	RP Overson				
80	RPO#0067	RPO#0080	77	RO-06-170	RPO#0080			North America	USA	AZ	Maricopa	Superstition Mountains	Fish Creek Canyon		original GPS waypoint: 59		4/16/2006			hand	33.524	-111.307	100 m	WGS 84	759	Acquired through GBIF in 2015 from lat/lon	upland Sonoran desertscrub		pinned	RP Overson				
